Name,League#,Date Joined,Birthday,Hometown,State,High Card,Pair,Two Pair,Three of a Kind,Straight,Flush,Full House,Four of a Kind,Straight Flush,Royal Flush
"Horn, Patrick D.",1187,11-Feb-05,5/17/1961,Provo,UT,,,,,,,,1,,
"Rutledge, Hop X.",1188,6-Mar-03,4/25/1982,Reading,PA,,,,,,,,,,1
"Dyer, Irma W.",1189,4-Mar-07,2/27/1963,Rock Springs,WY,,,,,,1,,,,
"Perkins, Zenaida I.",1190,19-Dec-07,3/8/1952,Rockford,IL,,,,,,,,1,,
"Nolan, Garth W.",1191,26-Nov-02,7/28/1966,Rockville,MD,,,,,1,,,,,
"Becker, Alexander Z.",1192,9-Aug-02,4/5/1985,Sacramento,CA,,,,,,1,,,,
"Hansen, Jasmine T.",1193,14-Feb-08,1/2/2002,Saint Paul,MN,,,,,,,1,,,
"Booker, Yen K.",1194,9-Nov-10,9/1/1983,San Francisco,CA,,,,,,1,,,,
"Mcdaniel, Akeem T.",1195,2-Mar-16,2/29/1968,San Francisco,CA,,,,1,,,,,,
"Huffman, Lucas V.",1196,16-Aug-05,2/14/1966,Sioux City,IA,,,,,,,,,1,
"Haley, Tanek G.",1197,30-Mar-05,12/18/1972,South Bend,IN,,,,1,,,,,,
"Flowers, Germane V.",1198,8-Mar-03,2/23/1972,South Burlington,VT,1,,,,,,,,,
"Shepard, Cade G.",1199,11-Aug-02,8/3/1954,South Portland,ME,,,,,,,1,,,
"Wise, Sebastian I.",1200,8-Jul-06,3/22/1975,South Portland,ME,,,,,1,,,,,
"Williams, Doris L.",1201,19-Jun-10,8/15/1951,South Portland,ME,,,,1,,,,,,
"Charles, Deacon L.",1202,16-Dec-08,7/4/1977,Southaven,MS,1,,,,,,,,,
"Lee, Madeline Q.",1203,4-May-05,9/17/1955,Springfield,MA,,,1,,,,,,,
"Gibson, Mannix N.",1204,7-Jun-17,5/17/1980,Springfield,MA,,,,,,,,,1,
"Robertson, Dawn I.",1205,19-May-16,9/6/1973,Tallahassee,FL,,,,,,,1,,,
"Tillman, Hakeem H.",1206,16-Jan-18,5/16/1987,Tallahassee,FL,,,1,,,,,,,
"Finch, Zelenia K.",1207,1-May-12,6/1/1952,Toledo,OH,,,,,,1,,,,
"Leach, Ima Y.",1208,19-Oct-02,12/2/1970,Tuscaloosa,AL,,,,,,,,,,1
"Sheppard, Amir D.",1209,25-Oct-14,5/28/1985,West Jordan,UT,,1,,,,,,,,
"Flores, Ronan X.",1210,21-Sep-16,7/18/1993,Worcester,MA,,,1,,,,,,,
